2016-10-13 11:11:14.023 ; Session       ; Debug       ; Session log loaded as 'TapPythonConsole_log.txt'.
2016-10-13 11:11:14.033 ; Session       ; Debug       ; Startup session log loaded as 'TapPythonConsole_log.txt'.
2016-10-13 11:11:14.094 ; TestPlan      ; Information ; Loaded test plan from Delay-Verdict.TapPlan [63 ms]
2016-10-13 11:11:14.104 ; TestPlan      ; Information ; ------------------------------------------------
2016-10-13 11:11:14.104 ; TestPlan      ; Information ; Starting TestPlan 'Delay-Verdict.TapPlan' on 10/13/2016 11:11:14 AM, 3 of 3 TestSteps enabled.
2016-10-13 11:11:14.114 ; Settings      ; Debug       ; No settings file exists for DutSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:11:14.114 ; Settings      ; Debug       ; No settings file exists for ConnectionSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:11:14.114 ; Settings      ; Debug       ; No settings file exists for InstrumentSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:11:14.114 ; Settings      ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:11:14.114 ; Settings      ; Debug       ; No settings file exists for ResultSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:11:14.154 ; TestPlan      ; Debug       ; TestStep Delay PrePlanRunCompleted. [0 ms]
2016-10-13 11:11:14.154 ; TestPlan      ; Debug       ; TestStep Delay (1) PrePlanRunCompleted. [0 ms]
2016-10-13 11:11:14.154 ; TestPlan      ; Debug       ; TestStep Set Verdict PrePlanRunCompleted. [0 ms]
2016-10-13 11:11:14.164 ; TestPlan      ; Information ; "Delay" started.
2016-10-13 11:11:15.084 ; Session       ; Debug       ; Windows Version: Microsoft Windows NT 6.2.9200.0
2016-10-13 11:11:15.084 ; Session       ; Debug       ; .Net Version: CDF, v2.0.50727, v3.0, v3.5, v4, v4.0
2016-10-13 11:11:15.084 ; Session       ; Debug       ; Keysight I/O Libs Version:81.1.20011.4
2016-10-13 11:11:15.084 ; Session       ; Debug       ; Processor Name: Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz
2016-10-13 11:11:15.194 ; TestPlan      ; Information ; "Delay" completed. [1027 ms]
2016-10-13 11:11:15.194 ; TestPlan      ; Information ; "Delay (1)" started.
2016-10-13 11:11:16.225 ; TestPlan      ; Information ; "Delay (1)" completed. [1029 ms]
2016-10-13 11:11:16.225 ; TestPlan      ; Information ; "Set Verdict" started.
2016-10-13 11:11:16.226 ; TestPlan      ; Information ; "Set Verdict" completed with verdict 'Pass'. [1 ms]
2016-10-13 11:11:16.226 ; TestPlan      ; Information ; TestPlan Run finished. [2065 ms]
2016-10-13 11:11:16.230 ; TestPlan      ; Debug       ; TestStep 'Set Verdict' PostPlanRun completed. [0 ms]
2016-10-13 11:11:16.230 ; TestPlan      ; Debug       ; TestStep 'Delay (1)' PostPlanRun completed. [0 ms]
2016-10-13 11:11:16.230 ; TestPlan      ; Debug       ; TestStep 'Delay' PostPlanRun completed. [0 ms]
2016-10-13 11:22:22.407 ; Session       ; Debug       ; Session log loaded as 'TapPythonConsole_log.txt'.
2016-10-13 11:22:22.407 ; Session       ; Debug       ; Startup session log loaded as 'TapPythonConsole_log.txt'.
2016-10-13 11:22:22.497 ; TestPlan      ; Information ; Loaded test plan from Delay-Verdict.TapPlan [85 ms]
2016-10-13 11:22:22.507 ; TestPlan      ; Information ; ------------------------------------------------
2016-10-13 11:22:22.530 ; TestPlan      ; Information ; Starting TestPlan 'Delay-Verdict.TapPlan' on 10/13/2016 11:22:22 AM, 3 of 3 TestSteps enabled.
2016-10-13 11:22:22.537 ; Settings      ; Debug       ; No settings file exists for DutSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:22:22.537 ; Settings      ; Debug       ; No settings file exists for ConnectionSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:22:22.537 ; Settings      ; Debug       ; No settings file exists for InstrumentSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:22:22.537 ; Settings      ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:22:22.537 ; Settings      ; Debug       ; No settings file exists for ResultSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:22:22.577 ; TestPlan      ; Debug       ; TestStep Delay PrePlanRunCompleted. [0 ms]
2016-10-13 11:22:22.577 ; TestPlan      ; Debug       ; TestStep Delay (1) PrePlanRunCompleted. [0 ms]
2016-10-13 11:22:22.577 ; TestPlan      ; Debug       ; TestStep Set Verdict PrePlanRunCompleted. [0 ms]
2016-10-13 11:22:22.587 ; TestPlan      ; Information ; "Delay" started.
2016-10-13 11:22:23.478 ; Session       ; Debug       ; Windows Version: Microsoft Windows NT 6.2.9200.0
2016-10-13 11:22:23.478 ; Session       ; Debug       ; .Net Version: CDF, v2.0.50727, v3.0, v3.5, v4, v4.0
2016-10-13 11:22:23.478 ; Session       ; Debug       ; Keysight I/O Libs Version:81.1.20011.4
2016-10-13 11:22:23.478 ; Session       ; Debug       ; Processor Name: Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz
2016-10-13 11:22:23.630 ; TestPlan      ; Information ; "Delay" completed. [1037 ms]
2016-10-13 11:22:23.631 ; TestPlan      ; Information ; "Delay (1)" started.
2016-10-13 11:22:24.634 ; TestPlan      ; Information ; "Delay (1)" completed. [1003 ms]
2016-10-13 11:22:24.634 ; TestPlan      ; Information ; "Set Verdict" started.
2016-10-13 11:22:24.635 ; TestPlan      ; Information ; "Set Verdict" completed with verdict 'Pass'. [0 ms]
2016-10-13 11:22:24.635 ; TestPlan      ; Information ; TestPlan Run finished. [2049 ms]
2016-10-13 11:22:24.636 ; TestPlan      ; Debug       ; TestStep 'Set Verdict' PostPlanRun completed. [0 ms]
2016-10-13 11:22:24.636 ; TestPlan      ; Debug       ; TestStep 'Delay (1)' PostPlanRun completed. [0 ms]
2016-10-13 11:22:24.636 ; TestPlan      ; Debug       ; TestStep 'Delay' PostPlanRun completed. [0 ms]
2016-10-13 11:30:58.157 ; Session       ; Debug       ; Session log loaded as 'TapPythonConsole_log.txt'.
2016-10-13 11:30:58.170 ; Session       ; Debug       ; Startup session log loaded as 'TapPythonConsole_log.txt'.
2016-10-13 11:30:58.227 ; TestPlan      ; Information ; Loaded test plan from Delay-Verdict.TapPlan [58 ms]
2016-10-13 11:30:58.237 ; TestPlan      ; Information ; ------------------------------------------------
2016-10-13 11:30:58.257 ; TestPlan      ; Information ; Starting TestPlan 'Delay-Verdict.TapPlan' on 10/13/2016 11:30:58 AM, 3 of 3 TestSteps enabled.
2016-10-13 11:30:58.257 ; Settings      ; Debug       ; No settings file exists for DutSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:30:58.269 ; Settings      ; Debug       ; No settings file exists for ConnectionSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:30:58.269 ; Settings      ; Debug       ; No settings file exists for InstrumentSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:30:58.270 ; Settings      ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:30:58.273 ; Settings      ; Debug       ; No settings file exists for ResultSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:30:58.307 ; TestPlan      ; Debug       ; TestStep Delay PrePlanRunCompleted. [0 ms]
2016-10-13 11:30:58.307 ; TestPlan      ; Debug       ; TestStep Delay (1) PrePlanRunCompleted. [0 ms]
